Distribution of global social media users 2020, by region;;
;;
;;
Eastern Asia;29,6;in %
Southeast Asia;13,4;in %
Southern Asia;13,1;in %
Northern America;9,2;in %
South America;7,6;in %
Central & Western Europe;5,5;in %
Western Asia;4,4;in %
Southern Europe;4;in %
Eastern Europe;3,3;in %
Northern Africa;3;in %
Western Africa;1,5;in %
Eastern Africa;1,2;in %
Central America;0,8;in %
Northern Europe;0,7;in %
Southern Africa;0,7;in %
Australia & Oceania;0,7;in %
Caribbean;0,6;in %
Central Asia;0,4;in %
Central Africa;0,3;in %
