iso2c;ccTLD_registration_date
AF;1997-10-16
AX;2006-06-21
AL;1992-04-21
DZ;1994-01-03
AS;1997-06-12
AD;1996-01-09
AO;1995-11-15
AI;1995-02-16
AQ;1992-02-26
AG;1991-09-03
AR;1987-09-23
AM;1994-08-26
AW;1996-02-20
AU;1986-03-05
AT;1988-01-20
AZ;1993-08-25
BS;1991-09-03
BH;1994-02-01
BD;1999-05-20
BB;1991-09-03
BY;1994-05-10
BE;1988-08-05
BZ;1991-09-03
BJ;1996-01-18
BM;1993-03-31
BT;1997-07-16
BO;1991-02-26
BQ;2010-12-20
BA;1996-08-14
BW;1993-03-19
BV;1997-08-21
BR;1989-04-18
IO;1997-09-16
BN;1994-06-03
BG;1995-01-03
BF;1993-03-29
BI;1996-10-21
KH;1996-02-20
CM;1995-04-29
CA;1987-05-14
CV;1996-10-21
KY;1995-05-03
CF;1996-04-24
TD;1997-11-03
CL;1995-01-27
CN;1990-11-28
CX;1997-04-24
CC;1997-10-13
CO;1991-12-24
KM;1998-06-08
CG;1997-01-14
CD;1997-08-20
CK;1995-08-08
CR;1990-09-10
CI;1995-02-14
HR;1993-02-27
CU;1992-06-03
CW;2010-12-20
CY;1994-07-26
CZ;1993-01-13
DK;1987-07-14
DJ;1996-05-22
DM;1991-09-03
DO;1991-08-25
EC;1991-02-01
EG;1990-11-30
SV;1994-11-04
GQ;1997-07-10
ER;1996-09-24
EE;1992-06-03
ET;1995-10-15
FK;1997-03-26
FO;1993-05-14
FJ;1992-06-03
FI;1986-12-17
FR;1986-09-02
GF;1996-07-25
PF;1996-03-19
TF;1997-08-26
GA;1994-12-12
GM;1997-03-28
GE;1992-12-02
DE;1986-11-05
GH;1995-01-19
GI;1995-12-05
GR;1989-02-19
GL;1994-04-08
GD;1992-06-03
GP;1996-10-21
GU;1994-04-15
GT;1992-08-14
GG;1996-08-07
GN;1994-08-09
GW;1997-02-04
GY;1994-09-13
HT;1997-03-06
HM;1997-07-24
VA;1995-09-11
HN;1993-04-16
HK;1990-01-03
HU;1990-11-07
IS;1987-11-18
IN;1989-05-08
ID;1993-02-27
IR;1994-04-06
IQ;1997-05-09
IE;1988-01-27
IM;1996-09-11
IL;1985-10-24
IT;1987-12-23
JM;1991-09-24
JP;1986-08-05
JE;1996-08-08
JO;1994-11-23
KZ;1994-09-19
KE;1993-04-29
KI;1995-04-19
KP;2007-09-24
KR;1986-09-29
KW;1992-10-26
KG;1995-07-12
LA;1996-05-14
LV;1993-04-29
LB;1993-08-25
LS;1993-01-13
LR;1997-04-09
LY;1997-04-23
LI;1993-02-26
LT;1992-06-03
LU;1995-01-27
MO;1992-09-17
MK;1993-09-23
MG;1995-07-25
MW;1997-01-03
MY;1987-06-08
MV;1996-09-25
ML;1993-09-29
MT;1992-12-02
MH;1996-08-16
MQ;1997-03-28
MR;1996-04-24
MU;1995-10-06
YT;1997-11-17
MX;1989-02-01
FM;1995-04-19
MD;1994-03-24
MC;1995-01-20
MN;1995-03-02
ME;2007-09-24
MS;1997-03-06
MA;1993-11-26
MZ;1992-09-04
MM;1997-02-04
NA;1991-05-08
NR;1998-03-30
NP;1995-01-25
NL;1986-04-25
NC;1993-10-13
NZ;1987-01-19
NI;1989-10-13
NE;1996-04-24
NG;1995-03-15
NU;1997-06-20
NF;1996-03-18
MP;1996-10-22
NO;1987-03-17
OM;1996-04-11
PK;1992-06-03
PW;1997-06-12
PS;2000-03-22
PA;1994-05-25
PG;1991-09-26
PY;1991-09-09
PE;1991-11-25
PH;1990-09-14
PN;1997-07-10
PL;1990-07-30
PT;1988-06-30
PR;1989-08-27
QA;1996-06-12
RE;1997-04-07
RO;1993-02-26
RU;1994-04-07
RW;1996-10-21
BL;2007-10-11
SH;1997-09-23
KN;1991-09-03
LC;1991-09-03
MF;2007-10-11
PM;1997-08-20
VC;1991-09-03
WS;1995-07-14
SM;1995-08-16
ST;1997-11-07
SA;1994-05-17
SN;1993-03-19
RS;2007-09-24
SC;1997-05-09
SL;1997-05-09
SG;1988-10-19
SX;2010-12-20
SK;1993-03-29
SI;1992-04-01
SB;1994-04-19
SO;1997-08-28
ZA;1990-11-07
GS;1997-07-31
SS;2011-08-31
ES;1988-04-14
LK;1990-06-15
SD;1997-03-06
SR;1991-09-03
SJ;1997-08-21
SZ;1993-07-19
SE;1986-09-04
CH;1987-05-20
SY;1996-02-20
TW;1989-07-31
TJ;1997-12-11
TZ;1995-07-14
TH;1988-09-07
TL;2005-03-23
TG;1996-09-05
TK;1997-11-07
TO;1995-12-18
TT;1991-09-03
TN;1991-05-17
TR;1990-09-17
TM;1997-05-30
TC;1997-01-27
TV;1996-03-18
UG;1995-03-08
UA;1992-12-01
AE;1992-12-01
GB;1985-07-24
US;1985-02-15
UM;2008-04-21
UY;1990-09-10
UZ;1995-04-29
VU;1995-04-10
VE;1991-03-07
VN;1994-04-14
VG;1997-02-20
VI;1995-08-31
WF;1997-11-14
